year,name,count
1996,New Zealand,671880
1996,New Caledonia,23470
1996,Papua New Guinea,43480
1996,Vanuatu,3670
1996,Fiji,21250
1996,United Kingdom,367530
1996,Ireland,20820
1996,Austria,17400
1996,Belgium,9140
1996,France,34950
1996,Germany,125400
1996,Netherlands,38820
1996,Switzerland,39420
1996,Denmark,17330
1996,Finland,6640
1996,Norway,7240
1996,Sweden,23450
1996,Italy,40570
1996,Spain,8110
1996,Poland,3730
1996,Russia,1850
1996,Iran,1430
1996,Israel,9360
1996,Saudi Arabia,2960
1996,United Arab Emirates,5770
1996,Cambodia,390
1996,Thailand,88920
1996,Vietnam,5350
1996,Indonesia,154440
1996,Malaysia,134410
1996,Philippines,33570
1996,Singapore,222820
1996,China,53980
1996,Hong Kong,153190
1996,Taiwan,159400
1996,Japan,813100
1996,South Korea,227860
1996,Bangladesh,1050
1996,India,21340
1996,Nepal,890
1996,Pakistan,2740
1996,Sri Lanka,6810
1996,Canada,61130
1996,United States of America,316880
1996,Argentina,5350
1996,Brazil,7060
1996,Chile,2420
1996,Colombia,1010
1996,Mexico,2220
1996,South Africa,42640
1997,New Zealand,685650
1997,New Caledonia,21780
1997,Papua New Guinea,43970
1997,Vanuatu,3270
1997,Fiji,20010
1997,United Kingdom,410630
1997,Ireland,25300
1997,Austria,19550
1997,Belgium,9240
1997,France,40000
1997,Germany,128870
1997,Netherlands,42030
1997,Switzerland,38610
1997,Denmark,16990
1997,Finland,6760
1997,Norway,9440
1997,Sweden,24030
1997,Italy,45840
1997,Spain,9380
1997,Poland,4230
1997,Russia,2710
1997,Iran,1720
1997,Israel,10600
1997,Saudi Arabia,3680
1997,United Arab Emirates,5830
1997,Cambodia,1020
1997,Thailand,68580
1997,Vietnam,7090
1997,Indonesia,160380
1997,Malaysia,143680
1997,Philippines,41070
1997,Singapore,239290
1997,China,65850
1997,Hong Kong,151720
1997,Taiwan,153250
1997,Japan,813890
1997,South Korea,233810
1997,Bangladesh,1490
1997,India,26140
1997,Nepal,690
1997,Pakistan,3040
1997,Sri Lanka,6020
